district_en,year,tick_bites,approx_latitude_N,source
Nyurbinsky,2008,0,63.3,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Nyurbinsky,2009,0,63.3,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Nyurbinsky,2010,0,63.3,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Nyurbinsky,2011,2,63.3,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Nyurbinsky,2012,4,63.3,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Nyurbinsky,2013,1,63.3,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Nyurbinsky,2014,3,63.3,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Nyurbinsky,2015,0,63.3,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Nyurbinsky,2016,5,63.3,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Nyurbinsky,2017,5,63.3,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Nyurbinsky,2018,1,63.3,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Lensky,2006,0,60.7,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Lensky,2007,6,60.7,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Lensky,2008,12,60.7,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Lensky,2009,11,60.7,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Lensky,2010,14,60.7,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Lensky,2011,18,60.7,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Lensky,2012,19,60.7,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Lensky,2013,25,60.7,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Lensky,2014,21,60.7,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Lensky,2015,24,60.7,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Lensky,2016,35,60.7,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Lensky,2017,79,60.7,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Lensky,2018,77,60.7,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Mirninsky,2006,0,62.5,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Mirninsky,2007,2,62.5,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Mirninsky,2008,0,62.5,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Mirninsky,2009,1,62.5,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Mirninsky,2010,3,62.5,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Mirninsky,2011,2,62.5,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Mirninsky,2012,1,62.5,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Mirninsky,2013,4,62.5,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Mirninsky,2014,1,62.5,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Mirninsky,2015,4,62.5,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Mirninsky,2016,9,62.5,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Mirninsky,2017,1,62.5,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Mirninsky,2018,1,62.5,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Megino-Kangalassky,2006,0,62.0,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Megino-Kangalassky,2007,1,62.0,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Megino-Kangalassky,2008,0,62.0,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Megino-Kangalassky,2009,0,62.0,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Megino-Kangalassky,2010,0,62.0,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Megino-Kangalassky,2011,0,62.0,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Megino-Kangalassky,2012,0,62.0,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Megino-Kangalassky,2013,1,62.0,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Megino-Kangalassky,2014,10,62.0,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Megino-Kangalassky,2015,11,62.0,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Megino-Kangalassky,2016,1,62.0,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Megino-Kangalassky,2017,9,62.0,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Megino-Kangalassky,2018,3,62.0,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Olyokminsky,2006,0,60.4,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Olyokminsky,2007,0,60.4,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Olyokminsky,2008,3,60.4,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Olyokminsky,2009,1,60.4,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Olyokminsky,2010,1,60.4,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Olyokminsky,2011,3,60.4,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Olyokminsky,2012,16,60.4,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Olyokminsky,2013,8,60.4,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Olyokminsky,2014,20,60.4,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Olyokminsky,2015,14,60.4,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Olyokminsky,2016,45,60.4,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Olyokminsky,2017,26,60.4,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Olyokminsky,2018,35,60.4,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Tattinsky,2006,0,62.0,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Tattinsky,2007,0,62.0,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Tattinsky,2008,1,62.0,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Tattinsky,2009,0,62.0,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Tattinsky,2010,1,62.0,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Tattinsky,2011,1,62.0,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Tattinsky,2012,0,62.0,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Tattinsky,2013,3,62.0,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Tattinsky,2014,2,62.0,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Tattinsky,2015,9,62.0,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Tattinsky,2016,5,62.0,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Tattinsky,2017,5,62.0,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Tattinsky,2018,0,62.0,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Amginsky,2006,0,60.9,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Amginsky,2007,0,60.9,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Amginsky,2008,2,60.9,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Amginsky,2009,3,60.9,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Amginsky,2010,0,60.9,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Amginsky,2011,0,60.9,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Amginsky,2012,1,60.9,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Amginsky,2013,0,60.9,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Amginsky,2014,7,60.9,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Amginsky,2015,26,60.9,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Amginsky,2016,9,60.9,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Amginsky,2017,19,60.9,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Amginsky,2018,6,60.9,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Kobyaysky,2006,0,63.6,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Kobyaysky,2007,0,63.6,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Kobyaysky,2008,1,63.6,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Kobyaysky,2009,2,63.6,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Kobyaysky,2010,0,63.6,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Kobyaysky,2011,1,63.6,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Kobyaysky,2012,1,63.6,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Kobyaysky,2013,0,63.6,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Kobyaysky,2014,0,63.6,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Kobyaysky,2015,2,63.6,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Kobyaysky,2016,0,63.6,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Kobyaysky,2017,1,63.6,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Kobyaysky,2018,0,63.6,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Gorny,2006,0,62.1,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Gorny,2007,0,62.1,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Gorny,2008,1,62.1,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Gorny,2009,0,62.1,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Gorny,2010,0,62.1,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Gorny,2011,0,62.1,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Gorny,2012,1,62.1,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Gorny,2013,0,62.1,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Gorny,2014,0,62.1,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Gorny,2015,0,62.1,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Gorny,2016,2,62.1,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Gorny,2017,1,62.1,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Gorny,2018,1,62.1,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Tomponsky,2006,0,63.9,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Tomponsky,2007,0,63.9,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Tomponsky,2008,1,63.9,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Tomponsky,2009,0,63.9,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Tomponsky,2010,0,63.9,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Tomponsky,2011,0,63.9,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Tomponsky,2012,0,63.9,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Tomponsky,2013,0,63.9,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Tomponsky,2014,1,63.9,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Tomponsky,2015,2,63.9,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Tomponsky,2016,0,63.9,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Tomponsky,2017,3,63.9,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Tomponsky,2018,0,63.9,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Churapchinsky,2006,0,62.0,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Churapchinsky,2007,0,62.0,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Churapchinsky,2008,0,62.0,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Churapchinsky,2009,0,62.0,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Churapchinsky,2010,0,62.0,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Churapchinsky,2011,2,62.0,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Churapchinsky,2012,1,62.0,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Churapchinsky,2013,3,62.0,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Churapchinsky,2014,4,62.0,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Churapchinsky,2015,16,62.0,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Churapchinsky,2016,10,62.0,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Churapchinsky,2017,15,62.0,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Churapchinsky,2018,1,62.0,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Ust-Maysky,2006,0,60.4,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Ust-Maysky,2007,0,60.4,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Ust-Maysky,2008,0,60.4,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Ust-Maysky,2009,0,60.4,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Ust-Maysky,2010,0,60.4,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Ust-Maysky,2011,3,60.4,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Ust-Maysky,2012,0,60.4,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Ust-Maysky,2013,0,60.4,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Ust-Maysky,2014,1,60.4,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Ust-Maysky,2015,2,60.4,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Ust-Maysky,2016,3,60.4,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Ust-Maysky,2017,8,60.4,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Ust-Maysky,2018,2,60.4,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Vilyuysky,2006,0,63.7,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Vilyuysky,2007,0,63.7,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Vilyuysky,2008,0,63.7,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Vilyuysky,2009,0,63.7,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Vilyuysky,2010,0,63.7,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Vilyuysky,2011,0,63.7,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Vilyuysky,2012,1,63.7,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Vilyuysky,2013,1,63.7,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Vilyuysky,2014,1,63.7,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Vilyuysky,2015,1,63.7,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Vilyuysky,2016,1,63.7,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Vilyuysky,2017,1,63.7,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Vilyuysky,2018,0,63.7,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Namsky,2006,0,62.7,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Namsky,2007,0,62.7,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Namsky,2008,0,62.7,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Namsky,2009,0,62.7,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Namsky,2010,0,62.7,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Namsky,2011,0,62.7,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Namsky,2012,0,62.7,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Namsky,2013,1,62.7,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Namsky,2014,3,62.7,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Namsky,2015,1,62.7,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Namsky,2016,1,62.7,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Namsky,2017,3,62.7,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Namsky,2018,0,62.7,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Ust-Aldansky,2006,0,62.7,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Ust-Aldansky,2007,0,62.7,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Ust-Aldansky,2008,0,62.7,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Ust-Aldansky,2009,0,62.7,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Ust-Aldansky,2010,0,62.7,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Ust-Aldansky,2011,0,62.7,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Ust-Aldansky,2012,0,62.7,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Ust-Aldansky,2013,0,62.7,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Ust-Aldansky,2014,2,62.7,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Ust-Aldansky,2015,1,62.7,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Ust-Aldansky,2016,0,62.7,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Ust-Aldansky,2017,4,62.7,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Ust-Aldansky,2018,1,62.7,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Verkhoyansky,2006,0,67.5,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Verkhoyansky,2007,0,67.5,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Verkhoyansky,2008,0,67.5,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Verkhoyansky,2009,0,67.5,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Verkhoyansky,2010,0,67.5,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Verkhoyansky,2011,0,67.5,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Verkhoyansky,2012,0,67.5,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Verkhoyansky,2013,0,67.5,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Verkhoyansky,2014,0,67.5,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Verkhoyansky,2015,0,67.5,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Verkhoyansky,2016,1,67.5,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Verkhoyansky,2017,0,67.5,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Verkhoyansky,2018,0,67.5,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
